id,name,catalog_type,catalog_label,quality,territory_id,territory_name,territory_role,claim_nairacoin,lat,lon,image,wikimedia_commons,mapillary,wikipedia
n_2455133023,Conference Hall Ministry,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.444029,7.488362,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aae5bb801-0afb-41c4-a734-15b869c76bb6%5D%2FPOI_Picture1,,,
n_2455133024,Constituency Office Enugu East Urban,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.481978,7.504173,,,,
n_2455133025,Cunic Hotels Limited,hotel,Hotel,B,trans_ekulu,Trans-Ekulu,unclaimed,36,6.478516,7.494123,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afb2c7dd2-43a1-40ac-b40a-609da3571b7d%5D%2FPOI_Picture1,,,
n_2455133027,Davala Suites,hotel,Hotel,B,independence_layout,Independence Layout,playable_faction,30,6.449539,7.510857,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aed159c3d-8235-4575-ac74-abf91a8fc362%5D%2FPOI_Picture1,,,
n_2455133028,De Bloomindales,hotel,Hotel,B,trans_ekulu,Trans-Ekulu,unclaimed,36,6.481992,7.489892,,,,
n_2455133029,Deily Star,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.453444,7.482696,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A3618a04f-ff6c-4c32-b369-586ad0bbdeca%5D%2FPOI_Picture1,,,
n_2455133030,Diamond Plaza Hotel,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.464778,7.495219,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A79f92065-827d-4c59-940e-3728569951bd%5D%2FPOI_Picture1,,,
n_2455133031,Dontell Suites,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.47839,7.503919,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8f58fd8b-14b2-42f2-ae8e-6d6f3e4e0ccf%5D%2FPOI_Picture1,,,
n_2455133032,E E. Mogor Consultancy Limited(A Division Of Ejimog Associates Ltd),civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.479899,7.516849,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A597c67fa-8e3e-4348-9dcd-b2538c4ed3e6%5D%2FPOI_Picture1,,,
n_2455133034,ESUT Medicine Student's Hostel,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.462455,7.495811,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A51104e99-9417-467e-98f7-e8c4087b2cec%5D%2FPOI_Picture1,,,
n_2455133035,ESUTH Pediatrics Emergency,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.461448,7.494273,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A3d3e04d6-40b4-4ff8-8246-2f469fbda13d%5D%2FPOI_Picture1,,,
n_2455133036,Ecobank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.450823,7.493118,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A90c65d03-d5d1-40cb-8b79-1c41b05732a0%5D%2FPOI_Picture1,,,
n_2455133569,Ecobank,bank,Bank,B,independence_layout,Independence Layout,playable_faction,0,6.4280323,7.5073489,,,,
n_2455133701,Ecobank,bank,Bank,B,ogui,Ogui,unclaimed,0,6.436056,7.489954,,,,
n_2455133740,Ecobank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.439862,7.487983,,,,
n_2455133766,Ecobank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.441411,7.489287,,,,
n_2455133039,Enterprise Bank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.482518,7.516546,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Adae092f2-49a8-4729-a8c8-cefbba294a9c%5D%2FPOI_Picture1,,,
n_2455133584,Enterprise Bank,bank,Bank,B,coal_camp,Coal Camp,playable_faction,0,6.429546,7.480705,,,,
n_2455133716,Enterprise Bank,bank,Bank,B,ogui,Ogui,unclaimed,0,6.437721,7.49278,,,,
